Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
34726141,"The Poetry Pharmacy: Tried-and-True Prescriptions for the Mind, Heart and Soul",William Sieghart,"Sieghart, William","Wendell Berry, Susan Coolidge, Siegfried Sassoon, Izumi Shikibu, J.R.R. Tolkien, Adrian Mitchell, William Stafford, Derek Mahon, Oscar Hammerstein II, John Burnside, Jane Hirshfield, Julia Darling, Hafez, Derek Walcott, Philip Larkin, Christopher Logue, Walter D. Wintle, Stuart Henson, Michael Laskey, Ella Wheeler Wilcox, Vicki Feaver, Mark Doty, Rudyard Kipling, Maya Angelou, Mary Oliver, James Fenton, Billy Collins, Rumi, Helen Farish, Sheenagh Pugh, John Donne, Seamus Heaney, Imtiaz Dharker, Vernon Scannell, John Keats, Wendy Cope, P.K. Page, U.A. Fanthorpe, Edna St. Vincent Millay, Ann Samson, Duncan Forbes, Jack Gilbert, Mary Elizabeth Frye, Elizabeth  Jennings, Paul Durcan",1846149541,9.78185E+12,3,4.35,Particular Books,Hardcover,151,2017,2017,02/03/2022,01/03/2022,,,read,,,,1,0
59937158,When We Were Orphans,Kazuo Ishiguro,"Ishiguro, Kazuo",,9780571283,,4,3.53,Faber & Faber Limited,Paperback,313,2021,2000,28/02/2022,18/02/2022,,,read,,,,1,0
50385731,The Truants,Kate Weinberg,"Weinberg, Kate",,1526600137,9.78153E+12,4,3.36,Bloomsbury Publishing,Paperback,352,2020,2019,18/02/2022,14/02/2022,,,read,,,,1,0
57196151,Pandora's Jar: Women in the Greek Myths,Natalie Haynes,"Haynes, Natalie",,1509873147,9.78151E+12,4,4.28,Pan Macmillan,Paperback,320,2021,2020,12/02/2022,06/02/2022,,,read,,,,1,0
43702513,"To Be Taught, If Fortunate",Becky  Chambers,"Chambers, Becky",,1473697166,9.78147E+12,4,4.2,Hodder & Stoughton,Hardcover,135,2019,2019,06/02/2022,05/02/2022,,,read,,,,1,0
41433658,On A Sunbeam,Tillie Walden,"Walden, Tillie",,1910395374,9.78191E+12,5,4.31,Avery Hill Publishing Limited,Hardcover,544,2018,2018,04/02/2022,03/02/2022,,,read,,,,1,0
4065756,The Midwich Cuckoos,John Wyndham,"Wyndham, John",,141033010,9.78014E+12,3,3.91,Penguin Books,Paperback,224,2008,1957,03/02/2022,31/01/2022,,,read,,,,1,0
37797266,Notes on a Nervous Planet,Matt Haig,"Haig, Matt",,1786892677,9.78179E+12,3,3.99,Canongate,Hardcover,310,2018,2018,30/01/2022,29/01/2022,,,read,,,,1,0
57739876,To Paradise,Hanya Yanagihara,"Yanagihara, Hanya",,385547935,9.78039E+12,5,3.79,Doubleday,Hardcover,720,2022,2022,29/01/2022,16/01/2022,,,read,,,,1,0
40275288,"The Priory of the Orange Tree (The Roots of Chaos, #1)",Samantha Shannon,"Shannon, Samantha",,,,5,4.23,Bloomsbury Publishing,Kindle Edition,848,2019,2019,16/01/2022,05/01/2022,favourites,favourites (#7),read,,,,1,0
